hf_gw,,lda_gw_c,,ccsd,
X,Y,X,Y,X,Y
-10.907894736842104,0.0031397174254315097,-13.868421052631579,0.0047095761381474865,-12.157894736842103,0.018838304552590168
-10.348684210526315,0.0047095761381474865,-13.407894736842103,0.006279434850863241,-11.648026315789473,0.04709576138147553
-9.345394736842104,0.007849293563579218,-13.111842105263158,0.014128728414442682,-11.516447368421051,0.06750392464678168
-8.342105263157894,0.02511773940345363,-12.865131578947366,0.023547880690737655,-11.434210526315788,0.08634222919937184
-8.654605263157894,0.015698587127158437,-12.63486842105263,0.031397174254317095,-11.351973684210526,0.11930926216640492
-9.75657894736842,0.006279434850863241,-12.421052631578945,0.03453689167974883,-11.286184210526315,0.1554160125588695
-10.036184210526315,0.0047095761381474865,-12.141447368421051,0.03296703296703285,-11.220394736842104,0.19780219780219777
-9.065789473684209,0.009419152276295195,-11.894736842105262,0.02825745682888514,-11.187499999999998,0.23861852433280983
-8.07894736842105,0.03924646781789631,-11.63157894736842,0.026687598116169386,-11.154605263157894,0.27472527472527464
-7.8815789473684195,0.06279434850863397,-11.31907894736842,0.02825745682888514,-11.121710526315788,0.32339089481946615
-7.75,0.09262166405023531,-11.055921052631579,0.03610675039246458,-11.105263157894736,0.36891679748822603
-7.651315789473683,0.12715855572998414,-10.858552631578945,0.05023547880690726,-11.07236842105263,0.42072213500784916
-7.5690789473684195,0.17268445839874413,-10.69407894736842,0.06750392464678168,-11.055921052631579,0.4678178963893249
-7.503289473684209,0.22448979591836715,-10.529605263157894,0.09105180533751955,-11.00657894736842,0.5667189952904238
-7.453947368421051,0.2810047095761381,-10.381578947368421,0.11459968602825743,-11.00657894736842,0.618524332810047
-7.421052631578945,0.35949764521193084,-10.184210526315788,0.13029827315541587,-10.973684210526315,0.6781789638932495
-7.388157894736841,0.4065934065934065,-9.970394736842103,0.11930926216640492,-10.973684210526315,0.7205651491365777
-7.371710526315789,0.4536891679748821,-9.82236842105263,0.10361067503924648,-10.940789473684209,0.7629513343799058
-7.338815789473681,0.5368916797488225,-9.657894736842104,0.08634222919937184,-10.924342105263158,0.7770800627943485
-7.305921052631577,0.5949764521193092,-9.411184210526315,0.06907378335949765,-10.907894736842104,0.7896389324960753
-7.289473684210526,0.662480376766091,-9.164473684210526,0.06122448979591821,-10.858552631578945,0.7770800627943485
-7.273026315789473,0.726844583987441,-8.967105263157892,0.06279434850863397,-10.858552631578945,0.7598116169544741
-7.240131578947368,0.8084772370486655,-8.736842105263158,0.07221350078492916,-10.858552631578945,0.7189952904238618
-7.240131578947368,0.8602825745682887,-8.572368421052628,0.0894819466248038,-10.82565789473684,0.6766091051805337
-7.223684210526313,0.8932496075353218,-8.457236842105262,0.10989010989010972,-10.82565789473684,0.618524332810047
-7.207236842105262,0.9152276295133437,-8.374999999999998,0.13500784929356335,-10.792763157894736,0.5635792778649921
-7.207236842105262,0.9356357927786498,-8.309210526315788,0.1601255886970172,-10.743421052631579,0.4678178963893249
-7.190789473684209,0.9481946624803768,-8.243421052631579,0.18367346938775508,-10.710526315789473,0.36891679748822603
-7.157894736842104,0.956043956043956,-8.19407894736842,0.20879120879120872,-10.677631578947366,0.30926216640502346
-7.125,0.945054945054945,-8.144736842105262,0.2354788069073781,-10.661184210526315,0.2715855572998429
-7.125,0.9309262166405023,-8.095394736842104,0.26059654631083196,-10.611842105263158,0.21978021978021967
-7.108552631578945,0.9120879120879121,-8.062499999999998,0.2841444270015696,-10.5625,0.18681318681318682
-7.108552631578945,0.8916797488226059,-8.029605263157894,0.2982731554160125,-10.480263157894736,0.1287284144427001
-7.092105263157892,0.8571428571428571,-7.980263157894736,0.3124018838304552,-10.414473684210524,0.0973312401883828
-7.075657894736841,0.8069073783359497,-7.848684210526315,0.31397174254317095,-10.315789473684209,0.07064364207221341
-7.059210526315788,0.7252747252747253,-7.799342105263156,0.29199372056514905,-10.167763157894736,0.04866562009419151
-7.026315789473683,0.6609105180533751,-7.75,0.2762951334379906,-9.953947368421051,0.029827315541601118
-7.00986842105263,0.5949764521193092,-7.717105263157892,0.2574568288854002,-9.707236842105262,0.020408163265306145
-6.976973684210524,0.5384615384615384,-7.6677631578947345,0.23704866562009408,-9.50986842105263,0.015698587127158437
-6.960526315789473,0.45211930926216637,-7.618421052631579,0.2135007849293562,-9.26315789473684,0.01098901098901095
-6.9440789473684195,0.41130298273155397,-7.536184210526315,0.18838304552590257,-8.868421052631577,0.007849293563579218
-6.911184210526315,0.3563579277864992,-7.470394736842103,0.16326530612244894,-8.424342105263156,0.007849293563579218
-6.894736842105262,0.31868131868131844,-7.388157894736841,0.13971742543171106,-7.94736842105263,0.007849293563579218
-6.845394736842103,0.2543171114599685,-7.273026315789473,0.11459968602825743,-7.585526315789471,0.015698587127158437
-6.796052631578947,0.20094191522762928,-7.125,0.09419152276295129,-7.32236842105263,0.0219780219780219
-6.763157894736841,0.17111459968602816,-6.9440789473684195,0.07692307692307665,-7.092105263157892,0.031397174254317095
-6.69736842105263,0.14128728414442682,-6.746710526315788,0.06907378335949765,-6.9440789473684195,0.04238618524332782
-6.631578947368418,0.10832025117739397,-6.565789473684209,0.06593406593406592,-6.713815789473683,0.0753532182103609
-6.565789473684209,0.08634222919937184,-6.401315789473683,0.06750392464678168,-6.648026315789473,0.09419152276295129
-6.417763157894736,0.05808477237048648,-6.220394736842103,0.08163265306122436,-6.5493421052631575,0.12401883830455263
-6.236842105263156,0.03924646781789631,-6.088815789473683,0.10361067503924648,-6.499999999999998,0.1648351648351647
-5.9243421052631575,0.0219780219780219,-6.023026315789471,0.12401883830455263,-6.467105263157892,0.1915227629513343
-5.611842105263156,0.014128728414442682,-5.957236842105262,0.152276295133438,-6.417763157894736,0.2401883830455258
-5.266447368421051,0.009419152276295195,-5.9243421052631575,0.1742543171114599,-6.384868421052628,0.2762951334379906
-4.838815789473683,0.006279434850863241,-5.8914473684210495,0.204081632653061,-6.351973684210524,0.3076923076923075
