,geo,homo,lumo,ref_homo,ref_lumo,err_homo,err_lumo
49,Ar,15.669630807031776,-3.393689602429818,15.6,-2.55,0.0696308070317766,-0.8436896024298184
12,B2H6,12.640605493818144,-0.692760874089126,12.27,-0.52,0.3706054938181431,-0.172760874089126
42,BF,11.117456558239091,-0.9713566212610236,11.15,-0.8,-0.0325434417609091,-0.1713566212610235
43,BH3,13.60360043510967,-0.3880483664461489,13.31,-0.09,0.2936004351096688,-0.2980483664461489
46,BN,12.241222364057869,3.021097622598909,12.05,3.02,0.191222364057868,0.0010976225989085
45,BeO,10.495340359471578,1.8687469188258576,9.95,2.17,0.5453403594715791,-0.301253081174142
29,C2H2,11.611968319855432,-0.7743201650433504,11.45,-0.8,0.1619683198554327,0.0256798349566496
10,C2H3Cl,10.250983107108166,-0.7079504105826393,10.17,-0.61,0.0809831071081657,-0.0979504105826393
11,C2H3F,10.514436425391692,-0.7313181893364098,10.63,-0.65,-0.1155635746083074,-0.0813181893364097
21,C2H4,10.688348876228972,-0.7886681692704145,10.69,-1.9,-0.0016511237710279,1.1113318307295854
9,C2H4O,10.29831973307806,-0.6273473224011963,10.29,-0.54,0.0083197330780606,-0.0873473224011962
7,C2H6O,10.70728740617045,-0.6619478788615091,10.82,-0.58,-0.112712593829551,-0.0819478788615091
8,C3H6,10.869564502034946,-0.7780824599238452,10.83,-0.94,0.0395645020349455,0.1619175400761547
6,C3H8,12.19878215085437,-0.7404022700991086,12.13,-0.63,0.0687821508543695,-0.1104022700991086
30,CH2O,10.825544331190333,-0.6611490525012895,10.93,-0.6,-0.1044556688096669,-0.0611490525012895
14,CH2O2,11.536820920341311,-0.6919469797478924,11.54,-0.6,-0.0031790796586879,-0.0919469797478924
35,CH4,14.522895475164962,-0.7452271319099025,14.39,-0.65,0.1328954751649611,-0.0952271319099025
18,CH4O,10.911523627638053,-0.6615743690444414,11.09,-0.59,-0.1784763723619473,-0.0715743690444414
41,CO,14.096115691440136,-1.7095204347422304,13.99,-1.57,0.1061156914401344,-0.1395204347422303
25,CO2,13.81822537262949,-1.0089863963425487,13.8,-0.88,0.0182253726294892,-0.1289863963425487
15,C4,11.597917726608731,2.2148576022907025,11.43,2.38,0.1679177266087332,-0.1651423977092974
39,F2,15.08914575931401,0.4056901988747682,15.81,0.32,-0.7208542406859912,0.0856901988747682
4,H2,16.453472418164687,-1.3920085297524196,16.4,-1.35,0.0534724181646879,-0.0420085297524195
19,H2NNH2,9.444490484093848,-0.6835768780748608,9.49,-0.6,-0.0455095159061524,-0.0835768780748608
44,H2O,12.469629092559,-0.6648775292652649,12.69,-0.61,-0.2203709074409996,-0.0548775292652649
36,HCN,14.013135538835003,-0.5814000375509882,13.76,-0.53,0.2531355388350054,-0.0514000375509882
48,HCl,12.80319264655617,-0.6544075928835413,12.67,-0.57,0.1331926465561697,-0.0844075928835413
1,HF,15.620013033154532,-0.7140109396282422,16.15,-0.66,-0.5299869668454651,-0.0540109396282422
20,HN3,10.93029977353481,-0.5937705784944366,10.77,-0.51,0.1602997735348097,-0.0837705784944365
26,HOOH,11.2026657575761,-0.7363207709078945,11.51,-0.96,-0.3073342424239005,0.2236792290921054
5,He,24.601658035502712,-2.9653424722267583,24.54,-2.66,0.0616580355027132,-0.3053424722267581
22,KH,6.832014042824005,0.241679692157829,6.32,0.3,0.5120140428240045,-0.0583203078421709
0,Li2,5.142351945953656,-0.0588913180489425,5.25,0.34,-0.1076480540463435,-0.3988913180489425
47,LiF,11.3805787835037,0.3083860615083893,11.47,0.35,-0.0894212164962997,-0.0416139384916106
2,LiH,8.46436309158944,0.2280040106488229,8.02,-0.29,0.444363091589441,0.5180040106488228
16,MgF2,13.76433168174503,0.1599707784473173,13.93,0.29,-0.1656683182549692,-0.1300292215526826
33,MgO,8.718203753340513,1.5861311167122891,7.97,1.54,0.7482037533405128,0.046131116712289
40,N2,15.475924697605157,-2.157504172641451,15.54,-2.37,-0.0640753023948441,0.2124958273585493
38,NH3,10.917686997994618,-0.6796935248211217,10.91,-0.61,0.0076869979946181,-0.0696935248211216
27,Na2,4.724075327218742,0.016826259153526,4.93,0.36,-0.2059246727812578,-0.3431737408464739
28,NaCl,9.457289448822818,0.6068551311178891,9.1,0.67,0.3572894488228186,-0.0631448688821109
3,Ne,20.731853561805927,-6.189922533680599,21.47,-5.09,-0.7381464381940717,-1.099922533680599
23,O3,12.70742693007744,1.548566242001875,12.85,1.82,-0.1425730699225589,-0.2714337579981247
17,OCS,11.34967361254838,-1.073886431664962,11.23,-1.43,0.1196736125483806,0.3561135683350378
31,P2,10.589985273107947,0.1798579916510699,10.72,0.43,-0.1300147268920533,-0.2501420083489301
32,PH3,10.761364519215231,-0.6765814718656699,10.6,-0.51,0.1613645192152333,-0.1665814718656698
34,PN,12.112302725287504,-0.2672300853792298,11.9,-0.02,0.212302725287504,-0.2472300853792298
37,SH2,10.530939923019169,-0.6402878696528147,10.39,-0.52,0.1409399230191663,-0.1202878696528146
13,SO2,10.93522908548694,2.3927653808077767,10.48,2.24,0.4552290854869394,0.1527653808077764
24,SiH4,13.243341287452369,-0.7673713101296747,12.79,-0.53,0.4533412874523694,-0.2373713101296747
